"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2010","Number","Estimated Population",3304
"Andover","0901301080","2011","Number","Estimated Population",3300
"Andover","0901301080","2012","Number","Estimated Population",3283
"Andover","0901301080","2013","Number","Estimated Population",3281
"Andover","0901301080","2014","Number","Estimated Population",3274
"Andover","0901301080","2015","Number","Estimated Population",3268
"Andover","0901301080","2016","Number","Estimated Population",3252
"Andover","0901301080","2017","Number","Estimated Population",3248
"Ansonia","0900901220","2010","Number","Estimated Population",19254
"Ansonia","0900901220","2011","Number","Estimated Population",19227
"Ansonia","0900901220","2012","Number","Estimated Population",19221
"Ansonia","0900901220","2013","Number","Estimated Population",19100
"Ansonia","0900901220","2014","Number","Estimated Population",19052
"Ansonia","0900901220","2015","Number","Estimated Population",18949
"Ansonia","0900901220","2016","Number","Estimated Population",18850
"Ansonia","0900901220","2017","Number","Estimated Population",18813
"Ashford","0901501430","2010","Number","Estimated Population",4323
"Ashford","0901501430","2011","Number","Estimated Population",4309
"Ashford","0901501430","2012","Number","Estimated Population",4294
"Ashford","0901501430","2013","Number","Estimated Population",4280
"Ashford","0901501430","2014","Number","Estimated Population",4255
"Ashford","0901501430","2015","Number","Estimated Population",4243
"Ashford","0901501430","2016","Number","Estimated Population",4226
"Ashford","0901501430","2017","Number","Estimated Population",4244
"Avon","0900302060","2010","Number","Estimated Population",18167
"Avon","0900302060","2011","Number","Estimated Population",18223
"Avon","0900302060","2012","Number","Estimated Population",18307
"Avon","0900302060","2013","Number","Estimated Population",18375
"Avon","0900302060","2014","Number","Estimated Population",18408
"Avon","0900302060","2015","Number","Estimated Population",18376
"Avon","0900302060","2016","Number","Estimated Population",18381
"Avon","0900302060","2017","Number","Estimated Population",18352
"Barkhamsted","0900502760","2010","Number","Estimated Population",3798
"Barkhamsted","0900502760","2011","Number","Estimated Population",3784
"Barkhamsted","0900502760","2012","Number","Estimated Population",3759
"Barkhamsted","0900502760","2013","Number","Estimated Population",3743
"Barkhamsted","0900502760","2014","Number","Estimated Population",3713
"Barkhamsted","0900502760","2015","Number","Estimated Population",3697
"Barkhamsted","0900502760","2016","Number","Estimated Population",3674
"Barkhamsted","0900502760","2017","Number","Estimated Population",3651
"Beacon Falls","0900903250","2010","Number","Estimated Population",6060
"Beacon Falls","0900903250","2011","Number","Estimated Population",6071
"Beacon Falls","0900903250","2012","Number","Estimated Population",6075
"Beacon Falls","0900903250","2013","Number","Estimated Population",6072
"Beacon Falls","0900903250","2014","Number","Estimated Population",6081
"Beacon Falls","0900903250","2015","Number","Estimated Population",6106
"Beacon Falls","0900903250","2016","Number","Estimated Population",6125
"Beacon Falls","0900903250","2017","Number","Estimated Population",6168
"Berlin","0900304300","2010","Number","Estimated Population",19903
"Berlin","0900304300","2011","Number","Estimated Population",20190
"Berlin","0900304300","2012","Number","Estimated Population",20501
"Berlin","0900304300","2013","Number","Estimated Population",20611
"Berlin","0900304300","2014","Number","Estimated Population",20636
"Berlin","0900304300","2015","Number","Estimated Population",20588
"Berlin","0900304300","2016","Number","Estimated Population",20561
"Berlin","0900304300","2017","Number","Estimated Population",20505
"Bethany","0900904580","2010","Number","Estimated Population",5567
"Bethany","0900904580","2011","Number","Estimated Population",5562
"Bethany","0900904580","2012","Number","Estimated Population",5559
"Bethany","0900904580","2013","Number","Estimated Population",5555
"Bethany","0900904580","2014","Number","Estimated Population",5545
"Bethany","0900904580","2015","Number","Estimated Population",5520
"Bethany","0900904580","2016","Number","Estimated Population",5500
"Bethany","0900904580","2017","Number","Estimated Population",5497
"Bethel","0900104720","2010","Number","Estimated Population",18640
"Bethel","0900104720","2011","Number","Estimated Population",18947
"Bethel","0900104720","2012","Number","Estimated Population",19172
"Bethel","0900104720","2013","Number","Estimated Population",19302
"Bethel","0900104720","2014","Number","Estimated Population",19359
"Bethel","0900104720","2015","Number","Estimated Population",19513
"Bethel","0900104720","2016","Number","Estimated Population",19716
"Bethel","0900104720","2017","Number","Estimated Population",19802
"Bethlehem","0900504930","2010","Number","Estimated Population",3592
"Bethlehem","0900504930","2011","Number","Estimated Population",3580
"Bethlehem","0900504930","2012","Number","Estimated Population",3552
"Bethlehem","0900504930","2013","Number","Estimated Population",3543
"Bethlehem","0900504930","2014","Number","Estimated Population",3504
"Bethlehem","0900504930","2015","Number","Estimated Population",3481
"Bethlehem","0900504930","2016","Number","Estimated Population",3459
"Bethlehem","0900504930","2017","Number","Estimated Population",3439
"Bloomfield","0900305910","2010","Number","Estimated Population",20496
"Bloomfield","0900305910","2011","Number","Estimated Population",20563
"Bloomfield","0900305910","2012","Number","Estimated Population",20649
"Bloomfield","0900305910","2013","Number","Estimated Population",20663
"Bloomfield","0900305910","2014","Number","Estimated Population",20817
"Bloomfield","0900305910","2015","Number","Estimated Population",20743
"Bloomfield","0900305910","2016","Number","Estimated Population",20604
"Bloomfield","0900305910","2017","Number","Estimated Population",21406
"Bolton","0901306260","2010","Number","Estimated Population",4978
"Bolton","0901306260","2011","Number","Estimated Population",4981
"Bolton","0901306260","2012","Number","Estimated Population",4964
"Bolton","0901306260","2013","Number","Estimated Population",4954
"Bolton","0901306260","2014","Number","Estimated Population",4955
"Bolton","0901306260","2015","Number","Estimated Population",4953
"Bolton","0901306260","2016","Number","Estimated Population",4927
"Bolton","0901306260","2017","Number","Estimated Population",4916
"Bozrah","0901106820","2010","Number","Estimated Population",2625
"Bozrah","0901106820","2011","Number","Estimated Population",2628
"Bozrah","0901106820","2012","Number","Estimated Population",2632
"Bozrah","0901106820","2013","Number","Estimated Population",2625
"Bozrah","0901106820","2014","Number","Estimated Population",2607
"Bozrah","0901106820","2015","Number","Estimated Population",2587
"Bozrah","0901106820","2016","Number","Estimated Population",2569
"Bozrah","0901106820","2017","Number","Estimated Population",2563
"Branford","0900907310","2010","Number","Estimated Population",28040
"Branford","0900907310","2011","Number","Estimated Population",28042
"Branford","0900907310","2012","Number","Estimated Population",28063
"Branford","0900907310","2013","Number","Estimated Population",28059
"Branford","0900907310","2014","Number","Estimated Population",28305
"Branford","0900907310","2015","Number","Estimated Population",28208
"Branford","0900907310","2016","Number","Estimated Population",28111
"Branford","0900907310","2017","Number","Estimated Population",28111
"Bridgeport","0900108070","2010","Number","Estimated Population",144923
"Bridgeport","0900108070","2011","Number","Estimated Population",146363
"Bridgeport","0900108070","2012","Number","Estimated Population",147288
"Bridgeport","0900108070","2013","Number","Estimated Population",148168
"Bridgeport","0900108070","2014","Number","Estimated Population",148225
"Bridgeport","0900108070","2015","Number","Estimated Population",147890
"Bridgeport","0900108070","2016","Number","Estimated Population",147016
"Bridgeport","0900108070","2017","Number","Estimated Population",146579
"Bridgewater","0900508210","2010","Number","Estimated Population",1725
"Bridgewater","0900508210","2011","Number","Estimated Population",1715
"Bridgewater","0900508210","2012","Number","Estimated Population",1703
"Bridgewater","0900508210","2013","Number","Estimated Population",1697
"Bridgewater","0900508210","2014","Number","Estimated Population",1682
"Bridgewater","0900508210","2015","Number","Estimated Population",1669
"Bridgewater","0900508210","2016","Number","Estimated Population",1657
"Bridgewater","0900508210","2017","Number","Estimated Population",1644
"Bristol","0900308490","2010","Number","Estimated Population",60497
"Bristol","0900308490","2011","Number","Estimated Population",60638
"Bristol","0900308490","2012","Number","Estimated Population",60697
"Bristol","0900308490","2013","Number","Estimated Population",60683
"Bristol","0900308490","2014","Number","Estimated Population",60666
"Bristol","0900308490","2015","Number","Estimated Population",60599
"Bristol","0900308490","2016","Number","Estimated Population",60380
"Bristol","0900308490","2017","Number","Estimated Population",60223
"Brookfield","0900108980","2010","Number","Estimated Population",16473
"Brookfield","0900108980","2011","Number","Estimated Population",16627
"Brookfield","0900108980","2012","Number","Estimated Population",16787
"Brookfield","0900108980","2013","Number","Estimated Population",16869
"Brookfield","0900108980","2014","Number","Estimated Population",17030
"Brookfield","0900108980","2015","Number","Estimated Population",17106
"Brookfield","0900108980","2016","Number","Estimated Population",17134
"Brookfield","0900108980","2017","Number","Estimated Population",17133
"Brooklyn","0901509190","2010","Number","Estimated Population",8215
"Brooklyn","0901509190","2011","Number","Estimated Population",8220
"Brooklyn","0901509190","2012","Number","Estimated Population",8236
"Brooklyn","0901509190","2013","Number","Estimated Population",8277
"Brooklyn","0901509190","2014","Number","Estimated Population",8249
"Brooklyn","0901509190","2015","Number","Estimated Population",8240
"Brooklyn","0901509190","2016","Number","Estimated Population",8185
"Brooklyn","0901509190","2017","Number","Estimated Population",8208
"Burlington","0900310100","2010","Number","Estimated Population",9318
"Burlington","0900310100","2011","Number","Estimated Population",9395
