"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Number","Total Households",1276
"Andover","0901301080","2006-2010","Number","Margins of Error",76
"Andover","0901301080","2007-2011","Number","Total Households",1203
"Andover","0901301080","2007-2011","Number","Margins of Error",92
"Andover","0901301080","2008-2012","Number","Total Households",1135
"Andover","0901301080","2008-2012","Number","Margins of Error",83
"Andover","0901301080","2009-2013","Number","Total Households",1104
"Andover","0901301080","2009-2013","Number","Margins of Error",78
"Andover","0901301080","2010-2014","Number","Total Households",1145
"Andover","0901301080","2010-2014","Number","Margins of Error",78
"Andover","0901301080","2011-2015","Number","Total Households",1158
"Andover","0901301080","2011-2015","Number","Margins of Error",84
"Andover","0901301080","2012-2016","Number","Total Households",1195
"Andover","0901301080","2012-2016","Number","Margins of Error",75
"Andover","0901301080","2013-2017","Number","Total Households",1217
"Andover","0901301080","2013-2017","Number","Margins of Error",88
"Ansonia","0900901220","2006-2010","Number","Total Households",7622
"Ansonia","0900901220","2006-2010","Number","Margins of Error",324
"Ansonia","0900901220","2007-2011","Number","Total Households",7550
"Ansonia","0900901220","2007-2011","Number","Margins of Error",295
"Ansonia","0900901220","2008-2012","Number","Total Households",7380
"Ansonia","0900901220","2008-2012","Number","Margins of Error",281
"Ansonia","0900901220","2009-2013","Number","Total Households",7309
"Ansonia","0900901220","2009-2013","Number","Margins of Error",364
"Ansonia","0900901220","2010-2014","Number","Total Households",7240
"Ansonia","0900901220","2010-2014","Number","Margins of Error",363
"Ansonia","0900901220","2011-2015","Number","Total Households",6954
"Ansonia","0900901220","2011-2015","Number","Margins of Error",339
"Ansonia","0900901220","2012-2016","Number","Total Households",6897
"Ansonia","0900901220","2012-2016","Number","Margins of Error",367
"Ansonia","0900901220","2013-2017","Number","Total Households",6981
"Ansonia","0900901220","2013-2017","Number","Margins of Error",386
"Ashford","0901501430","2006-2010","Number","Total Households",1686
"Ashford","0901501430","2006-2010","Number","Margins of Error",113
"Ashford","0901501430","2007-2011","Number","Total Households",1694
"Ashford","0901501430","2007-2011","Number","Margins of Error",146
"Ashford","0901501430","2008-2012","Number","Total Households",1650
"Ashford","0901501430","2008-2012","Number","Margins of Error",130
"Ashford","0901501430","2009-2013","Number","Total Households",1644
"Ashford","0901501430","2009-2013","Number","Margins of Error",113
"Ashford","0901501430","2010-2014","Number","Total Households",1707
"Ashford","0901501430","2010-2014","Number","Margins of Error",93
"Ashford","0901501430","2011-2015","Number","Total Households",1691
"Ashford","0901501430","2011-2015","Number","Margins of Error",99
"Ashford","0901501430","2012-2016","Number","Total Households",1659
"Ashford","0901501430","2012-2016","Number","Margins of Error",105
"Ashford","0901501430","2013-2017","Number","Total Households",1754
"Ashford","0901501430","2013-2017","Number","Margins of Error",118
"Avon","0900302060","2006-2010","Number","Total Households",6786
"Avon","0900302060","2006-2010","Number","Margins of Error",182
"Avon","0900302060","2007-2011","Number","Total Households",6993
"Avon","0900302060","2007-2011","Number","Margins of Error",185
"Avon","0900302060","2008-2012","Number","Total Households",7115
"Avon","0900302060","2008-2012","Number","Margins of Error",169
"Avon","0900302060","2009-2013","Number","Total Households",7218
"Avon","0900302060","2009-2013","Number","Margins of Error",185
"Avon","0900302060","2010-2014","Number","Total Households",7207
"Avon","0900302060","2010-2014","Number","Margins of Error",182
"Avon","0900302060","2011-2015","Number","Total Households",7024
"Avon","0900302060","2011-2015","Number","Margins of Error",206
"Avon","0900302060","2012-2016","Number","Total Households",7106
"Avon","0900302060","2012-2016","Number","Margins of Error",157
"Avon","0900302060","2013-2017","Number","Total Households",6970
"Avon","0900302060","2013-2017","Number","Margins of Error",167
"Barkhamsted","0900502760","2006-2010","Number","Total Households",1407
"Barkhamsted","0900502760","2006-2010","Number","Margins of Error",113
"Barkhamsted","0900502760","2007-2011","Number","Total Households",1444
"Barkhamsted","0900502760","2007-2011","Number","Margins of Error",112
"Barkhamsted","0900502760","2008-2012","Number","Total Households",1424
"Barkhamsted","0900502760","2008-2012","Number","Margins of Error",124
"Barkhamsted","0900502760","2009-2013","Number","Total Households",1439
"Barkhamsted","0900502760","2009-2013","Number","Margins of Error",119
"Barkhamsted","0900502760","2010-2014","Number","Total Households",1475
"Barkhamsted","0900502760","2010-2014","Number","Margins of Error",105
"Barkhamsted","0900502760","2011-2015","Number","Total Households",1450
"Barkhamsted","0900502760","2011-2015","Number","Margins of Error",94
"Barkhamsted","0900502760","2012-2016","Number","Total Households",1435
"Barkhamsted","0900502760","2012-2016","Number","Margins of Error",99
"Barkhamsted","0900502760","2013-2017","Number","Total Households",1375
"Barkhamsted","0900502760","2013-2017","Number","Margins of Error",83
"Beacon Falls","0900903250","2006-2010","Number","Total Households",2278
"Beacon Falls","0900903250","2006-2010","Number","Margins of Error",135
