Town,Year,Crime Type,Measure Type,Variable,Value
Andover,2013,Total Crime,"Rate (per 100,000)",Crime Index,436.8
Ansonia,2013,Total Crime,"Rate (per 100,000)",Crime Index,2180.5
Ashford,2013,Total Crime,"Rate (per 100,000)",Crime Index,601.2
Avon,2013,Total Crime,"Rate (per 100,000)",Crime Index,885.8
Barkhamsted,2013,Total Crime,"Rate (per 100,000)",Crime Index,596.7
Beacon Falls,2013,Total Crime,"Rate (per 100,000)",Crime Index,993.3
Berlin,2013,Total Crime,"Rate (per 100,000)",Crime Index,1518.7
Bethany,2013,Total Crime,"Rate (per 100,000)",Crime Index,770.8
Bethel,2013,Total Crime,"Rate (per 100,000)",Crime Index,975.4
Bethlehem,2013,Total Crime,"Rate (per 100,000)",Crime Index,553.9
Bloomfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,2462
Bolton,2013,Total Crime,"Rate (per 100,000)",Crime Index,623.2
Bozrah,2013,Total Crime,"Rate (per 100,000)",Crime Index,883.9
Branford,2013,Total Crime,"Rate (per 100,000)",Crime Index,2150.3
Bridgeport,2013,Total Crime,"Rate (per 100,000)",Crime Index,3979.5
Bridgewater,2013,Total Crime,"Rate (per 100,000)",Crime Index,311.5
Bristol,2013,Total Crime,"Rate (per 100,000)",Crime Index,2331.4
Brookfield,2013,Total Crime,"Rate (per 100,000)",Crime Index,1034.2
Brooklyn,2013,Total Crime,"Rate (per 100,000)",Crime Index,1082.9
Burlington,2013,Total Crime,"Rate (per 100,000)",Crime Index,497.5
Canaan,2013,Total Crime,"Rate (per 100,000)",Crime Index,1580.3
Canterbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,767.2
Canton,2013,Total Crime,"Rate (per 100,000)",Crime Index,803.9
Chaplin,2013,Total Crime,"Rate (per 100,000)",Crime Index,590.2
Cheshire,2013,Total Crime,"Rate (per 100,000)",Crime Index,697
Chester,2013,Total Crime,"Rate (per 100,000)",Crime Index,151.9
Clinton,2013,Total Crime,"Rate (per 100,000)",Crime Index,2076.2
Colchester,2013,Total Crime,"Rate (per 100,000)",Crime Index,494.9
Colebrook,2013,Total Crime,"Rate (per 100,000)",Crime Index,707.9
Columbia,2013,Total Crime,"Rate (per 100,000)",Crime Index,571.9
Connecticut,2013,Total Crime,"Rate (per 100,000)",Crime Index,2233.8
Cornwall,2013,Total Crime,"Rate (per 100,000)",Crime Index,593.7
Coventry,2013,Total Crime,"Rate (per 100,000)",Crime Index,1284.7
Cromwell,2013,Total Crime,"Rate (per 100,000)",Crime Index,2105.4
Danbury,2013,Total Crime,"Rate (per 100,000)",Crime Index,1727.8
Darien,2013,Total Crime,"Rate (per 100,000)",Crime Index,396.2
Deep River,2013,Total Crime,"Rate (per 100,000)",Crime Index,493.1
Derby,2013,Total Crime,"Rate (per 100,000)",Crime Index,2546.1
Durham,2013,Total Crime,"Rate (per 100,000)",Crime Index,1572.6
East Granby,2013,Total Crime,"Rate (per 100,000)",Crime Index,1357.8
